epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.711,1.57029,1.33776,1.12281,0.48166,0.65204,0.6111,0.35745,1.3221,1.22945,0.98844,0.0001,0.0001,0.0001
2,454.439,1.23639,1.21183,0.96247,0.49087,0.65428,0.58964,0.34155,1.301,1.22269,0.98,9.75773e-05,9.75773e-05,9.75773e-05
3,681.653,1.21898,1.20398,0.96147,0.49634,0.63699,0.58412,0.34462,1.28871,1.21126,0.97799,9.05463e-05,9.05463e-05,9.05463e-05
4,908.614,1.21685,1.17626,0.9608,0.57606,0.53514,0.60473,0.35057,1.29169,1.20615,0.97772,7.95954e-05,7.95954e-05,7.95954e-05
5,1135.34,1.20573,1.17297,0.96426,0.52289,0.62802,0.57837,0.34749,1.2815,1.1955,0.9755,6.57963e-05,6.57963e-05,6.57963e-05
6,1361.79,1.20424,1.15765,0.9539,0.5134,0.62285,0.55886,0.33742,1.28455,1.20554,0.97553,5.05e-05,5.05e-05,5.05e-05
7,1588.37,1.1964,1.14948,0.95457,0.47537,0.68456,0.5812,0.35218,1.26783,1.1819,0.97204,3.52037e-05,3.52037e-05,3.52037e-05
8,1814.95,1.19299,1.14356,0.95596,0.47817,0.67563,0.57916,0.35556,1.27821,1.19044,0.97406,2.14046e-05,2.14046e-05,2.14046e-05
9,2040.86,1.19256,1.1412,0.9565,0.49995,0.64333,0.60504,0.35933,1.27675,1.18626,0.97392,1.04537e-05,1.04537e-05,1.04537e-05
10,2267.95,1.18966,1.13805,0.94995,0.50255,0.655,0.61933,0.36573,1.27189,1.18365,0.97285,3.4227e-06,3.4227e-06,3.4227e-06
