epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.0296,1.31127,1.00415,0.98658,0.64597,0.60785,0.61042,0.35417,1.29434,0.97964,0.98138,0.0001,0.0001,0.0001
2,197.513,1.2468,0.98249,0.96426,0.65706,0.59501,0.62014,0.37403,1.27778,0.96374,0.97777,9.75773e-05,9.75773e-05,9.75773e-05
3,296.557,1.24081,0.98184,0.96679,0.60408,0.63481,0.62087,0.37271,1.27748,0.95491,0.97778,9.05463e-05,9.05463e-05,9.05463e-05
4,395.076,1.23829,0.97026,0.9661,0.60596,0.62132,0.62254,0.37128,1.27242,0.9638,0.9772,7.95954e-05,7.95954e-05,7.95954e-05
5,494.013,1.23151,0.96521,0.97135,0.57973,0.64677,0.61417,0.3703,1.27852,0.9628,0.97793,6.57963e-05,6.57963e-05,6.57963e-05
6,592.692,1.23542,0.9674,0.96209,0.62306,0.59036,0.60655,0.36824,1.27459,0.95727,0.97623,5.05e-05,5.05e-05,5.05e-05
7,691.931,1.22753,0.96701,0.96309,0.61608,0.60379,0.6129,0.37066,1.26949,0.95919,0.97539,3.52037e-05,3.52037e-05,3.52037e-05
8,790.722,1.22899,0.96219,0.9651,0.60761,0.60859,0.60463,0.36388,1.27179,0.95789,0.97536,2.14046e-05,2.14046e-05,2.14046e-05
9,890.177,1.23128,0.96494,0.96702,0.59789,0.59914,0.60624,0.36486,1.27297,0.95476,0.9755,1.04537e-05,1.04537e-05,1.04537e-05
10,988.946,1.22924,0.96838,0.96023,0.59156,0.6106,0.6065,0.36518,1.27349,0.9551,0.97548,3.4227e-06,3.4227e-06,3.4227e-06
