epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.611,1.31292,1.24716,0.98723,0.52177,0.59684,0.6078,0.36432,1.29256,1.23421,0.98103,0.0001,0.0001,0.0001
2,199.406,1.24629,1.2099,0.964,0.52139,0.61211,0.60619,0.36714,1.27631,1.20847,0.97751,9.75773e-05,9.75773e-05,9.75773e-05
3,298.009,1.24017,1.21288,0.96668,0.51954,0.61974,0.61332,0.37176,1.27596,1.20054,0.97719,9.05463e-05,9.05463e-05,9.05463e-05
4,396.642,1.2381,1.19519,0.96596,0.53457,0.60395,0.6076,0.36868,1.27068,1.21145,0.97653,7.95954e-05,7.95954e-05,7.95954e-05
5,495.077,1.23044,1.19308,0.97079,0.56162,0.56865,0.61643,0.37496,1.2778,1.21136,0.97742,6.57963e-05,6.57963e-05,6.57963e-05
6,593.091,1.2347,1.19659,0.96199,0.50906,0.60634,0.59915,0.36106,1.27283,1.20545,0.97593,5.05e-05,5.05e-05,5.05e-05
7,691.295,1.22677,1.1937,0.96263,0.49729,0.63274,0.61231,0.37256,1.26917,1.2046,0.97546,3.52037e-05,3.52037e-05,3.52037e-05
8,789.764,1.22857,1.18558,0.96495,0.51291,0.61017,0.60239,0.3668,1.27158,1.20556,0.97533,2.14046e-05,2.14046e-05,2.14046e-05
9,887.738,1.23087,1.19075,0.96681,0.50839,0.62138,0.59518,0.36342,1.27226,1.2028,0.97554,1.04537e-05,1.04537e-05,1.04537e-05
10,985.846,1.22884,1.19384,0.96015,0.49806,0.64613,0.59825,0.36422,1.27239,1.20249,0.97542,3.4227e-06,3.4227e-06,3.4227e-06
