epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.893,1.56513,1.07992,1.1216,0.64994,0.58217,0.61878,0.37032,1.29505,0.98133,0.98176,0.0001,0.0001,0.0001
2,457.955,1.23724,0.98201,0.96292,0.5338,0.63721,0.58028,0.34375,1.31733,0.97536,0.98395,9.75773e-05,9.75773e-05,9.75773e-05
3,685.789,1.21698,0.97451,0.96094,0.54413,0.64342,0.58733,0.34824,1.29,0.97222,0.97775,9.05463e-05,9.05463e-05,9.05463e-05
4,913.878,1.21331,0.95673,0.95988,0.56534,0.63842,0.58941,0.35552,1.28393,0.95701,0.977,7.95954e-05,7.95954e-05,7.95954e-05
5,1142.39,1.20377,0.94722,0.96377,0.58114,0.6096,0.61067,0.36799,1.28842,0.95292,0.97794,6.57963e-05,6.57963e-05,6.57963e-05
6,1370.7,1.19898,0.94229,0.95226,0.52278,0.6202,0.5925,0.35464,1.28953,0.95162,0.97733,5.05e-05,5.05e-05,5.05e-05
7,1598.42,1.19479,0.93831,0.954,0.54458,0.61517,0.61512,0.36476,1.26114,0.93394,0.97106,3.52037e-05,3.52037e-05,3.52037e-05
8,1825.93,1.19039,0.93227,0.95474,0.56079,0.6371,0.60572,0.36473,1.27586,0.93961,0.97366,2.14046e-05,2.14046e-05,2.14046e-05
9,2053.32,1.18993,0.93076,0.95589,0.53755,0.63466,0.60134,0.3635,1.27428,0.93729,0.97334,1.04537e-05,1.04537e-05,1.04537e-05
10,2280.37,1.18761,0.93122,0.94937,0.56482,0.62482,0.61087,0.36669,1.27111,0.93778,0.9728,3.4227e-06,3.4227e-06,3.4227e-06
