epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.843,1.66074,1.70484,1.20813,0.38302,0.37342,0.29023,0.09835,2.40827,2.00015,1.57053,0.000199601,0.000199601,0.0802395
2,466.25,1.51603,1.39597,1.13008,0.44808,0.41489,0.37643,0.20144,1.7649,1.42463,1.15284,0.000398517,0.000398517,0.0604384
3,694.969,1.49118,1.37059,1.11811,0.51035,0.38364,0.38818,0.17761,1.79924,1.42139,1.15919,0.000593115,0.000593115,0.040633
4,922.282,1.46399,1.3197,1.10181,0.3641,0.56015,0.42276,0.2394,1.49266,1.26263,1.05634,0.000780229,0.000780229,0.0208201
5,1150.1,1.42639,1.27486,1.09145,0.56817,0.43094,0.44046,0.19865,1.93299,1.60888,1.2131,0.000956823,0.000956823,0.000996743
6,1376.82,1.40477,1.2419,1.07858,0.38695,0.52167,0.43578,0.24005,1.5893,1.23985,1.0885,0.000933683,0.000933683,0.000933683
7,1604.19,1.40707,1.24923,1.07548,0.44075,0.44847,0.44519,0.24627,1.52745,1.23076,1.05303,0.000905463,0.000905463,0.000905463
8,1831.75,1.35658,1.19204,1.0609,0.33717,0.59266,0.4319,0.23533,1.57521,1.22223,1.07373,0.000872857,0.000872857,0.000872857
9,2058.95,1.33424,1.15764,1.05084,0.43892,0.55,0.45458,0.24663,1.5778,1.16266,1.08174,0.00083622,0.00083622,0.00083622
10,2286.69,1.31546,1.1372,1.04294,0.39081,0.61599,0.47158,0.25025,1.58295,1.15942,1.07689,0.000795954,0.000795954,0.000795954
11,2514.43,1.31946,1.14114,1.04267,0.37769,0.47793,0.43805,0.2393,1.6317,1.16305,1.09045,0.0007525,0.0007525,0.0007525
12,2741.19,1.30416,1.10949,1.04065,0.43285,0.57435,0.50474,0.2852,1.51474,1.14604,1.05069,0.000706335,0.000706335,0.000706335
13,2968.66,1.29674,1.10124,1.03541,0.41425,0.60821,0.50434,0.29394,1.43668,1.12935,1.0229,0.000657963,0.000657963,0.000657963
14,3196.02,1.26172,1.08855,1.02656,0.4696,0.60241,0.53067,0.31647,1.40357,1.1026,1.01486,0.000607916,0.000607916,0.000607916
15,3423.1,1.25523,1.06613,1.02574,0.51668,0.56577,0.52368,0.31389,1.36865,1.05281,1.00558,0.000556742,0.000556742,0.000556742
16,3649.65,1.25432,1.07266,1.01946,0.52732,0.5489,0.52838,0.30407,1.46832,1.07615,1.03243,0.000505,0.000505,0.000505
17,3876.1,1.23684,1.04121,1.01496,0.40494,0.62163,0.51693,0.29904,1.49222,1.06567,1.03917,0.000453258,0.000453258,0.000453258
18,4102.51,1.22822,1.03411,1.0117,0.47965,0.57691,0.53675,0.30839,1.45345,1.03367,1.02749,0.000402084,0.000402084,0.000402084
19,4328.97,1.22551,1.01984,1.01064,0.46978,0.57626,0.50869,0.28957,1.53686,1.02626,1.05486,0.000352037,0.000352037,0.000352037
