epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.543,1.66074,1.70484,1.20813,0.38302,0.37342,0.29023,0.09835,2.40827,2.00015,1.57053,0.000199601,0.000199601,0.0802395
2,482.484,1.51603,1.39597,1.13008,0.44808,0.41489,0.37643,0.20144,1.7649,1.42463,1.15284,0.000398517,0.000398517,0.0604384
3,721.776,1.49118,1.37059,1.11811,0.51035,0.38364,0.38818,0.17761,1.79924,1.42139,1.15919,0.000593115,0.000593115,0.040633
4,960.137,1.46399,1.3197,1.10181,0.3641,0.56015,0.42276,0.2394,1.49266,1.26263,1.05634,0.000780229,0.000780229,0.0208201
5,1198.6,1.42639,1.27486,1.09145,0.56817,0.43094,0.44046,0.19865,1.93299,1.60888,1.2131,0.000956823,0.000956823,0.000996743
6,1436.32,1.40477,1.2419,1.07858,0.38695,0.52167,0.43578,0.24005,1.5893,1.23985,1.0885,0.000933683,0.000933683,0.000933683
7,1674.02,1.40707,1.24923,1.07548,0.44075,0.44847,0.44519,0.24627,1.52745,1.23076,1.05303,0.000905463,0.000905463,0.000905463
8,1911.69,1.35658,1.19204,1.0609,0.33717,0.59266,0.4319,0.23533,1.57521,1.22223,1.07373,0.000872857,0.000872857,0.000872857
9,2148.22,1.33424,1.15764,1.05084,0.43892,0.55,0.45458,0.24663,1.5778,1.16266,1.08174,0.00083622,0.00083622,0.00083622
10,2385.57,1.31546,1.1372,1.04294,0.39081,0.61599,0.47158,0.25025,1.58295,1.15942,1.07689,0.000795954,0.000795954,0.000795954
11,2623.94,1.33733,1.16703,1.09172,0.4471,0.61081,0.51265,0.26416,1.65588,1.18541,1.10663,0.0007525,0.0007525,0.0007525
12,2861.68,1.35026,1.14181,1.09449,0.37821,0.55547,0.48509,0.24619,1.74225,1.19582,1.12781,0.000706335,0.000706335,0.000706335
13,3099.1,1.31601,1.11914,1.07416,0.42593,0.54677,0.48792,0.26142,1.66178,1.14188,1.10592,0.000657963,0.000657963,0.000657963
14,3336.15,1.30693,1.11232,1.07514,0.3446,0.52917,0.43712,0.25608,1.44828,1.07629,1.02728,0.000607916,0.000607916,0.000607916
15,3573.51,1.29071,1.09797,1.06935,0.44257,0.58702,0.50398,0.2782,1.49582,1.12999,1.04019,0.000556742,0.000556742,0.000556742
16,3810.58,1.27586,1.07772,1.06709,0.40669,0.63468,0.5383,0.31594,1.36476,1.09694,1.00423,0.000505,0.000505,0.000505
17,4047.79,1.28319,1.06835,1.06328,0.38248,0.4587,0.41856,0.24739,1.45491,1.08955,1.03155,0.000453258,0.000453258,0.000453258
18,4283.91,1.28345,1.06161,1.06601,0.527,0.53969,0.50483,0.29362,1.41285,1.1004,1.01279,0.000402084,0.000402084,0.000402084
19,4520.21,1.24863,1.02926,1.0483,0.46641,0.55258,0.49438,0.29832,1.39174,1.03623,1.01037,0.000352037,0.000352037,0.000352037
20,4756.66,1.23772,1.01816,1.04315,0.39918,0.66562,0.47434,0.26733,1.48191,1.06264,1.03907,0.000303665,0.000303665,0.000303665
21,4993.31,1.22986,1.02337,1.0457,0.47014,0.54698,0.52396,0.29929,1.41528,1.03558,1.01441,0.0002575,0.0002575,0.0002575
22,5230.03,1.22492,1.00728,1.03885,0.48456,0.54699,0.50644,0.29067,1.47423,1.01436,1.03201,0.000214046,0.000214046,0.000214046
23,5467.2,1.21083,0.99309,1.0407,0.47989,0.57876,0.53655,0.32603,1.34077,0.99368,0.99406,0.00017378,0.00017378,0.00017378
24,5704.73,1.21217,0.9809,1.03459,0.47964,0.59736,0.54107,0.30908,1.39981,1.00083,1.01101,0.000137143,0.000137143,0.000137143
25,5940.64,1.19278,0.9712,1.02658,0.51124,0.61161,0.53053,0.31126,1.43076,0.9901,1.01748,0.000104537,0.000104537,0.000104537
26,6177.22,1.18664,0.97035,1.02646,0.53469,0.57612,0.53016,0.31723,1.36818,0.97501,1.00076,7.63174e-05,7.63174e-05,7.63174e-05
27,6412.78,1.18643,0.95926,1.0293,0.53713,0.61364,0.56792,0.32705,1.36397,0.97704,0.99847,5.2795e-05,5.2795e-05,5.2795e-05
28,6649.46,1.18732,0.95554,1.02888,0.54565,0.60481,0.56387,0.33029,1.37165,0.97818,1.0012,3.4227e-05,3.4227e-05,3.4227e-05
29,6886.84,1.17258,0.95147,1.0261,0.56681,0.60432,0.57195,0.33436,1.35319,0.97228,0.99447,2.08169e-05,2.08169e-05,2.08169e-05
30,7124.08,1.17527,0.94681,1.02229,0.54276,0.61771,0.57764,0.33169,1.34752,0.97857,0.99336,1.27117e-05,1.27117e-05,1.27117e-05
